segment,horizon,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
reused_evaluation,1,candidate_overlay_adaptive,krwusd,377,0.006419090136824346,0.004713088598584435,0.5145888594164456,0.08826981912217495,0.006354505100351533,-0.010163661127479351
reused_evaluation,1,candidate_overlay_adaptive,eurusd,377,0.004398819036905577,0.0032100646616627483,0.5384615384615384,0.128542340937346,0.0044488450872673235,0.011244727424859602
reused_evaluation,1,candidate_overlay_adaptive,sp500,377,0.010673433038219635,0.007008288470982809,0.5490716180371353,0.04217040468147674,0.010602888245241412,-0.0066533562692112636
reused_evaluation,1,candidate_overlay_adaptive,vix,377,2.0594197845961655,1.2113289253943242,0.53315649867374,0.12453216524499736,2.074228051361969,0.007139170042599785
reused_evaluation,1,candidate_overlay_adaptive,us2y,377,0.05107325793928397,0.03862907670932305,0.4350132625994695,-0.06417811333840372,0.050627631625307694,-0.008802037537017915
reused_evaluation,1,candidate_overlay_adaptive,us10y,377,0.047075692787446895,0.03771396791030699,0.4960212201591512,0.009713939333434002,0.04705741211108652,-0.0003884760240793206
reused_evaluation,1,candidate_overlay_adaptive,wti,377,2.6065542491856126,1.6023310874870755,0.5172413793103449,-0.008446029678111675,2.61753317929647,0.004194380494465522
reused_evaluation,1,candidate_overlay_adaptive,brent,377,0.03216471405218668,0.022346868536305357,0.5172413793103449,0.06706749071616969,0.03253664275296348,0.011431071841083607
reused_evaluation,1,candidate_overlay_adaptive,henry_hub,377,0.11527229964136214,0.05251977390926204,0.47480106100795755,0.07556085835202461,0.11592935488730463,0.005667721058063457
reused_evaluation,1,online_fixed_share,audusd,377,0.005549521269203671,0.004158034953146579,0.5411140583554377,0.4057185552284397,0.0060397547678298245,0.08116778204925401
reused_evaluation,1,online_fixed_share,brlusd,377,0.006778092713651229,0.005170689568550962,0.4880636604774536,0.18917519322381426,0.006890891961182676,0.016369324634148974
reused_evaluation,1,online_fixed_share,cnyusd,377,0.0014882383344470955,0.0010724472792902472,0.5013262599469496,0.12067543504706883,0.0015082024056524979,0.013236997322494837
reused_evaluation,1,online_fixed_share,krwusd,377,0.00642006140174443,0.004719219873727753,0.5013262599469496,0.08889952306631115,0.006354505100351533,-0.01031650779370219
reused_evaluation,1,online_fixed_share,eurusd,377,0.004398819036905577,0.0032100646616627483,0.5384615384615384,0.12854234093734604,0.0044488450872673235,0.011244727424859602
reused_evaluation,1,online_fixed_share,sp500,377,0.010668772153984912,0.007005536209797278,0.5437665782493368,0.04787961820642958,0.010602888245241412,-0.006213769986028961
reused_evaluation,1,online_fixed_share,vix,377,2.0597097772251884,1.2103136589950945,0.5358090185676393,0.12370631460947121,2.074228051361969,0.0069993625470679
reused_evaluation,1,online_fixed_share,us2y,377,0.051090047416226456,0.03854516484430305,0.4482758620689655,-0.04857664800020653,0.050627631625307694,-0.009133664287144239
reused_evaluation,1,online_fixed_share,us10y,377,0.047189803625868346,0.037795561047585385,0.48010610079575594,-0.0022778717817879164,0.04705741211108652,-0.0028134040705276586
reused_evaluation,1,online_fixed_share,wti,377,2.6067496413753295,1.6037446004325602,0.5251989389920424,-0.008711049718714831,2.61753317929647,0.004119733039654849
reused_evaluation,1,online_fixed_share,brent,377,0.032171262077866115,0.02235382757664918,0.5145888594164456,0.0667202353319707,0.03253664275296348,0.011229821031983556
reused_evaluation,1,online_fixed_share,henry_hub,377,0.1152892739296116,0.05260020055299251,0.47480106100795755,0.07349759351724307,0.11592935488730463,0.0055213018162247884
